,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
369,whitianga,NZ,1619046141,-36.8333,175.7,20.0,78,99,1.34
370,port shepstone,ZA,1619046142,-30.7414,30.455,20.72,77,79,1.26
371,nyurba,RU,1619046144,63.2842,118.3319,-10.59,93,98,0.73
372,kismayo,SO,1619046147,-0.3582,42.5454,27.57,79,97,5.94
373,hirekerur,IN,1619046148,14.4667,75.3833,22.53,82,86,2.32
374,borba,BR,1619046150,-4.3878,-59.5939,23.1,98,100,0.28
375,havoysund,NO,1619046151,70.9963,24.6622,1.0,75,75,1.54
376,kichera,RU,1619046153,55.9375,110.0997,-7.19,75,75,2.08
377,victor harbor,AU,1619046154,-35.5667,138.6167,15.56,78,39,5.64
378,vostok,RU,1619046156,46.4856,135.8833,12.13,29,0,0.7
379,iraray,PH,1619046157,8.9936,118.0511,26.06,84,53,2.55
380,longyearbyen,SJ,1619046159,78.2186,15.6401,-6.0,63,75,7.72
381,grindavik,IS,1619046160,63.8424,-22.4338,6.0,87,90,5.66
382,steinbach,DE,1619046162,50.1667,8.5667,11.67,66,0,7.72
383,jamalpur,BD,1619046163,24.9167,89.9333,26.21,66,80,3.41
384,mantua,IT,1619046164,45.1667,10.7833,11.11,79,82,1.34
385,clyde river,CA,1619046166,70.4692,-68.5914,-11.0,92,75,5.66
386,omboue,GA,1619046167,-1.5746,9.2618,26.6,87,100,2.27
387,mahibadhoo,MV,1619046170,3.7833,72.9667,27.96,71,17,3.02
388,tromso,NO,1619046171,69.6496,18.957,1.0,69,75,5.14
389,kavaratti,IN,1619046173,10.5669,72.642,28.5,68,55,3.3
390,xining,CN,1619046174,36.6167,101.7667,7.82,59,52,1.58
391,la ronge,CA,1619046176,55.1001,-105.2842,17.0,16,4,3.6
392,shirokiy,RU,1619046177,49.758,129.523,13.08,42,31,7.06
393,quatre cocos,MU,1619046178,-20.2078,57.7625,25.0,94,40,2.57
394,sao joao da barra,BR,1619046180,-21.6403,-41.0511,22.42,81,4,8.15
395,flinders,AU,1619046181,-34.5833,150.8552,15.0,55,1,2.68
396,garden city,US,1619045910,42.3256,-83.331,7.0,42,75,4.12
397,sarila,IN,1619046184,25.7667,79.6833,24.96,42,53,2.62
398,bella vista,US,1619046187,36.4295,-94.2316,12.22,37,1,5.66
399,sai buri,TH,1619046188,6.7013,101.6168,25.25,86,100,2.2
400,ketchikan,US,1619046190,55.3422,-131.6461,13.0,47,1,5.66
401,mormugao,IN,1619046191,15.4,73.8,28.0,78,40,2.57
402,qaanaaq,GL,1619046193,77.484,-69.3632,-12.57,77,89,3.22
403,lata,PT,1619046194,40.1629,-8.3327,15.56,94,75,3.6
404,bembereke,BJ,1619046196,10.2283,2.6634,24.87,72,100,4.71
405,russell,US,1619046197,32.3502,-85.1999,18.0,29,1,6.69
406,kargil,IN,1619046198,34.5667,76.1,-3.72,78,99,2.86
407,korla,CN,1619046200,41.7597,86.1469,15.61,33,100,5.56
408,butajira,ET,1619046203,8.1167,38.3667,18.06,62,93,3.52
409,hambantota,LK,1619046204,6.1241,81.1185,25.83,85,44,3.95
410,los andes,CL,1619046206,-32.8337,-70.5983,20.0,63,0,4.63
411,odessa,UA,1619045948,46.4775,30.7326,7.78,100,16,3.27
412,eyl,SO,1619046136,7.9803,49.8164,27.48,79,60,2.62
413,san quintin,MX,1619046209,30.4833,-115.95,16.4,60,8,6.83
414,nortelandia,BR,1619046212,-14.4547,-56.8028,24.55,73,5,1.5
415,pangai,TO,1619046213,-19.8,-174.35,28.0,83,20,2.06
416,arman,RU,1619046215,59.7,150.1667,0.53,98,100,2.09
417,eureka,US,1619046216,40.8021,-124.1637,15.0,76,6,3.58
418,tonstad,NO,1619046219,58.6626,6.7169,3.89,75,35,2.68
419,baturaja,ID,1619046220,-4.1333,104.1667,21.98,98,51,1.12
420,rio grande,BR,1619046222,-32.035,-52.0986,20.56,83,49,2.24
421,turayf,SA,1619046223,31.6725,38.6637,24.0,29,0,6.17
422,kitimat,CA,1619046225,54.0524,-128.6534,17.22,41,10,0.45
423,ancud,CL,1619046226,-41.8697,-73.8203,10.0,87,0,2.19
424,krishnapur,IN,1619046227,22.6703,88.2694,25.0,88,75,2.97
425,salalah,OM,1619046229,17.0151,54.0924,26.0,73,0,2.06
426,kanniyakumari,IN,1619046231,8.0833,77.5667,27.49,79,50,5.69
427,medicine hat,CA,1619046233,50.0501,-110.6683,17.22,13,1,9.77
428,tinguindin,MX,1619046234,19.75,-102.4833,27.0,16,1,4.12
429,ocean city,US,1619046236,39.2776,-74.5746,9.44,57,75,8.75
430,natal,BR,1619046237,-5.795,-35.2094,28.0,83,40,3.6
431,akureyri,IS,1619046239,65.6835,-18.0878,6.0,61,90,5.14
432,katsuura,JP,1619046242,35.1333,140.3,16.11,55,0,2.57
433,gorontalo,ID,1619046243,0.5412,123.0595,25.15,88,11,0.57
434,oviedo,ES,1619046245,43.3603,-5.8448,12.78,84,100,1.04
435,awjilah,LY,1619046191,29.1081,21.2869,20.23,25,24,4.59
436,fukue,JP,1619046247,32.6881,128.8419,18.53,61,84,2.7
437,vao,NC,1619046249,-22.6667,167.4833,23.89,71,39,2.3
438,yantarnyy,RU,1619046250,54.8717,19.9381,7.0,70,0,5.0
439,mikhaylovka,RU,1619046252,50.06,43.2379,6.11,93,15,1.34
440,shunyi,CN,1619046253,40.125,116.6453,13.0,62,100,2.0
441,sechura,PE,1619046254,-5.5569,-80.8222,24.64,62,13,8.22
442,penza,RU,1619046256,53.2007,45.0046,7.22,66,80,2.23
443,jiwani,PK,1619046257,25.05,61.7417,27.14,71,0,6.06
444,abu kamal,SY,1619046259,34.4506,40.9171,24.1,28,97,6.7
445,sanary-sur-mer,FR,1619046260,43.1178,5.8001,12.22,80,11,0.45
446,sabang,ID,1619046262,5.8933,95.3214,28.49,73,100,6.12
447,vila velha,BR,1619046263,-20.3297,-40.2925,25.56,78,40,4.12
448,nishihara,JP,1619046264,26.1842,127.7558,21.0,100,90,6.69
449,camana,PE,1619046266,-16.6228,-72.7111,21.06,83,50,3.25
450,luwingu,ZM,1619046268,-10.2621,29.9271,15.28,98,86,2.11
451,erenhot,CN,1619046270,43.6475,111.9767,12.89,76,100,3.14
452,grahamstown,ZA,1619046271,-33.3042,26.5328,15.22,86,86,1.93
453,aripuana,BR,1619046273,-9.1667,-60.6333,23.28,97,93,0.68
454,olavarria,AR,1619046274,-36.8927,-60.3225,19.44,83,86,3.58
455,ozinki,RU,1619046276,51.1786,49.6769,5.17,84,100,6.31
456,nova russas,BR,1619046277,-4.7067,-40.5631,24.55,81,100,0.95
457,loa janan,ID,1619046278,-0.583,117.095,23.1,99,83,0.9
458,bengbu,CN,1619046280,32.9408,117.3608,15.86,97,100,0.21
459,egvekinot,RU,1619046281,66.3167,-179.1667,-2.51,72,96,0.82
460,lar,IN,1619046283,26.2039,83.9717,27.33,32,100,1.19
461,mosalsk,RU,1619046284,54.4881,34.9817,2.97,95,67,4.16
462,rio brilhante,BR,1619046286,-21.8019,-54.5464,22.48,40,0,2.89
463,sept-iles,CA,1619046102,50.2001,-66.3821,5.0,52,75,2.57
464,pangody,RU,1619046288,65.85,74.4859,-1.56,96,99,5.29
465,raga,SS,1619046290,8.4596,25.678,26.24,59,95,3.43
466,gambela,ET,1619046291,8.25,34.5833,24.59,72,73,1.37
467,kieta,PG,1619046293,-6.2167,155.6333,29.08,68,99,0.91
468,vidim,RU,1619046294,56.4088,103.1106,-10.34,86,40,1.32
469,aksum,ET,1619046295,14.1245,38.7244,19.23,28,69,7.14
470,mapiri,BO,1619046297,-15.25,-68.1667,22.52,92,32,0.56
471,elizabeth city,US,1619046299,36.2946,-76.2511,20.0,42,75,9.77
472,rolla,US,1619046301,37.9514,-91.7713,9.44,40,75,7.2
473,narsaq,GL,1619046302,60.9167,-46.05,9.0,27,75,13.38
474,vredendal,ZA,1619046304,-31.6683,18.5012,16.05,71,12,0.57
475,chifeng,CN,1619046305,42.2683,118.9636,10.8,37,100,4.01
476,aasiaat,GL,1619046307,68.7098,-52.8699,-6.95,83,58,6.06
477,bonavista,CA,1619046308,48.6499,-53.1147,7.0,76,68,1.54
478,freeport,US,1619046161,40.6576,-73.5832,9.0,53,90,7.2
479,ylivieska,FI,1619046311,64.0833,24.55,5.0,64,100,1.45
480,bilibino,RU,1619046312,68.0546,166.4372,-3.44,68,10,1.34
481,aksu,CN,1619046315,41.1231,80.2644,14.05,37,96,1.32
482,taltal,CL,1619046020,-25.4,-70.4833,18.07,75,33,0.35
483,hobyo,SO,1619046319,5.3505,48.5268,28.78,68,99,5.12
484,kuching,MY,1619046051,1.55,110.3333,25.0,94,40,1.03
485,plouzane,FR,1619046323,48.3833,-4.6167,12.0,76,56,4.63
486,male,MV,1619046255,4.1748,73.5089,29.0,79,75,4.12
487,trelew,AR,1619046325,-43.249,-65.3051,14.39,74,100,7.33
488,juneau,US,1619046329,58.3019,-134.4197,13.0,15,1,6.17
489,da nang,VN,1619046331,16.0678,108.2208,25.0,94,40,1.54
490,tipuani,BO,1619046332,-15.5648,-68.0185,23.35,89,48,0.15
491,nouadhibou,MR,1619046333,20.931,-17.0347,19.0,77,0,8.23
492,razole,IN,1619046335,16.4833,81.8333,25.11,93,27,0.64
493,ca mau,VN,1619046338,9.1769,105.15,26.11,87,100,1.68
494,excelsior springs,US,1619046339,39.3392,-94.2261,8.33,36,90,4.63
495,jalu,LY,1619046340,29.0331,21.5482,20.1,26,46,4.6
496,ust-ilimsk,RU,1619046342,58.0006,102.6619,-10.78,93,60,0.55
497,jijiang,CN,1619046343,29.2906,106.2542,15.56,94,32,2.0
498,ayan,RU,1619046345,56.45,138.1667,-1.22,82,100,2.46
499,mount isa,AU,1619046346,-20.7333,139.5,23.0,18,81,7.72
500,broken hill,AU,1619046348,-31.95,141.4333,10.0,57,0,0.51
501,tamale,GH,1619046350,9.4008,-0.8393,30.99,50,63,2.8
502,miles city,US,1619046344,46.4083,-105.8406,11.0,20,1,3.6
503,otane,NZ,1619046353,-39.8833,176.6333,17.78,63,19,0.89
504,sompeta,IN,1619046355,18.9333,84.6,26.95,86,88,4.44
505,half moon bay,US,1619046356,37.4636,-122.4286,18.33,87,90,2.57
506,sokoto,NG,1619046357,13.0609,5.239,28.63,48,96,4.29
507,kure,JP,1619046359,34.2333,132.5667,17.22,48,75,2.22
508,itoman,JP,1619046360,26.1247,127.6694,21.0,94,75,6.17
509,gracac,HR,1619046362,44.3006,15.8547,11.11,93,0,2.06
510,umm lajj,SA,1619046363,25.0213,37.2685,26.66,64,84,5.11
511,khandyga,RU,1619046365,62.6667,135.6,-7.33,85,38,0.98
512,atikokan,CA,1619046366,48.7555,-91.6216,5.23,28,100,3.33
513,barcelos,PT,1619046310,41.5388,-8.6151,15.0,94,75,2.57
514,deputatskiy,RU,1619046369,69.3,139.9,-12.89,87,100,1.97
515,rafaela,AR,1619046370,-31.2503,-61.4867,19.44,80,100,4.02
516,ahuimanu,US,1619046372,21.4447,-157.8378,31.0,73,40,4.12
517,kimbe,PG,1619046373,-5.5502,150.1429,27.39,81,100,0.75
518,beni,CD,1619046374,0.5,29.4667,17.2,99,100,0.53
519,beterou,BJ,1619046376,9.1992,2.2586,22.87,88,100,8.39
520,syamzha,RU,1619046377,60.0158,41.0614,2.09,92,100,3.73
521,cerritos,US,1619046137,33.8583,-118.0648,19.0,59,90,4.63
522,camalu,MX,1619046380,30.85,-116.0667,16.11,40,13,5.81
523,qarayeri,AZ,1619046383,40.7886,46.3066,16.0,82,75,3.09
524,uray,RU,1619046385,60.1247,64.7758,1.92,85,8,3.31
525,hellvik,NO,1619046387,59.9156,5.781,4.44,74,12,4.92
526,fatehpur,IN,1619046388,25.9333,80.8,23.99,46,26,2.09
527,zhenhai,CN,1619046390,24.2582,118.0905,22.0,73,75,2.0
528,north platte,US,1619046392,41.1239,-100.7654,10.0,27,1,2.06
529,zabol,AF,1619046394,32.25,67.25,13.74,29,4,3.71
530,bulls,NZ,1619046395,-40.1667,175.3833,18.33,67,46,0.45
531,tabou,CI,1619046397,4.423,-7.3528,27.34,83,74,3.59
532,bagdarin,RU,1619046398,54.4333,113.6,-6.43,62,48,2.36
533,dzhebariki-khaya,RU,1619046399,62.2167,135.8,-6.92,83,68,0.89
534,presidente epitacio,BR,1619046204,-21.7633,-52.1156,22.32,39,0,2.71
535,nesterov,RU,1619046402,54.6306,22.5714,6.63,79,95,4.19
536,vallenar,CL,1619046404,-28.5708,-70.7581,18.96,48,85,1.27
537,zyryanka,RU,1619046405,65.75,150.85,-1.27,86,43,3.23
538,puerto madryn,AR,1619046408,-42.7692,-65.0385,17.22,82,100,2.19
539,caucaia,BR,1619046194,-3.7361,-38.6531,28.0,74,20,1.03
540,neubrandenburg,DE,1619046411,53.5667,13.2667,4.44,64,6,1.79
541,stromness,GB,1619046413,58.965,-3.296,3.0,87,75,1.54
542,cooma,AU,1619046414,-36.2333,149.1333,1.0,86,2,2.57
543,dharchula,IN,1619046416,29.85,80.5333,12.63,93,100,0.4
544,vanavara,RU,1619046417,60.34,102.2797,-10.18,93,53,0.34
545,moose factory,CA,1619046419,51.2585,-80.6094,-5.0,74,20,5.66
546,faya,SA,1619046420,18.3851,42.4509,17.0,51,0,2.56
547,kerman,IR,1619046422,30.2832,57.0788,14.0,28,0,2.06
548,emerald,AU,1619046423,-23.5333,148.1667,24.0,73,40,2.57
549,mayna,RU,1619046424,54.1135,47.6231,3.29,97,100,4.88
550,englewood,US,1619046271,39.6478,-104.9878,0.56,80,90,5.14
551,garowe,SO,1619046427,8.4054,48.4845,25.56,74,59,5.92
552,saryozek,KZ,1619046429,44.3583,77.9753,-3.16,59,94,2.82
553,khandbari,NP,1619046430,27.3747,87.2039,20.4,42,100,0.92
554,pittsburg,US,1619046304,38.028,-121.8847,25.56,33,1,6.69
555,san fernando,PH,1619046434,15.0286,120.6898,26.0,89,90,1.03
556,saint-pierre,RE,1619046435,-21.3393,55.4781,25.0,78,75,4.12
557,dicabisagan,PH,1619046437,17.0818,122.4157,24.8,88,100,3.07
558,fergus falls,US,1619046438,46.283,-96.0776,8.0,53,40,3.52
559,sarab,IR,1619046440,38.6066,44.9883,16.67,52,93,2.47
560,povenets,RU,1619046441,62.8487,34.8262,0.84,98,100,2.51
561,kangaatsiaq,GL,1619046443,68.3065,-53.4641,-5.67,80,67,5.4
562,san matias,BO,1619046444,-16.3667,-58.4,27.98,54,87,2.06
563,tekeli,KZ,1619046446,44.83,78.8239,-7.14,86,93,1.4
564,bara,NG,1619046447,10.3744,10.7288,31.33,38,85,4.22
565,wildwood,US,1619046449,38.5828,-90.6629,8.89,66,75,2.57
566,kalabo,ZM,1619046450,-14.97,22.6814,17.12,58,0,2.5
567,ouahigouya,BF,1619046452,13.5828,-2.4216,31.68,24,10,3.59
568,ryotsu,JP,1619046453,38.0833,138.4333,10.0,50,20,3.6
569,acapulco,MX,1619046456,16.8634,-99.8901,30.0,48,75,3.6
570,huilong,CN,1619046457,31.8111,121.655,18.89,83,85,7.74
571,arona,ES,1619046459,28.0996,-16.681,20.0,68,40,5.66
